customer_id,customer_name,email,city,signup_date
1,Chad Cervantes,carrie05@thomas-rose.biz,East Karen,2025-02-12
2,Amy Floyd,bryan27@lane.com,Swansonstad,2024-04-05
3,Willie Lane,brenda48@cooper-hughes.com,Greenfurt,2024-05-24
4,Michelle Pratt,bdickerson@andrews.org,Debramouth,2025-02-05
5,Michael Ray,davidanderson@gmail.com,Carrland,2024-09-03
6,Samantha Campos,mullinskeith@yahoo.com,Stricklandview,2023-12-27
7,William Stevens,darrellthomas@gmail.com,Port Lisa,2024-03-16
8,Larry Galvan,maria12@hotmail.com,Jorgemouth,2023-11-20
9,Vincent Perez,kpierce@dixon.com,Lake Ashleymouth,2023-10-26
10,Gavin Powers,tiffany72@miller-compton.com,Millerview,2023-07-03
